Shift,Serial,OpenMP,OpenCL
580,-13369.648,-13369.648,-13369.648
581,-17854.688,-17854.688,-17854.689
582,-16666.863,-16666.863,-16666.867
583,-22238.391,-22238.391,-22238.395
584,-26092.256,-26092.256,-26092.250
585,-14812.691,-14812.691,-14812.701
586,-22360.133,-22360.133,-22360.139
587, -5981.157, -5981.157, -5981.157
588,  4762.872,  4762.872,  4762.874
589, -2660.236, -2660.236, -2660.236
590, -3637.379, -3637.379, -3637.381
591,  -718.174,  -718.174,  -718.174
592, -4800.284, -4800.284, -4800.278
593, -4332.588, -4332.588, -4332.587
594,  1641.885,  1641.885,  1641.883
595, -3164.254, -3164.254, -3164.249
596,  4219.107,  4219.107,  4219.105
597,  7283.185,  7283.185,  7283.181
598, 11095.008, 11095.008, 11095.004
599,  3229.167,  3229.167,  3229.165
600, 10902.054, 10902.054, 10902.052
601, 18392.146, 18392.146, 18392.146
602, 18494.021, 18494.021, 18494.023
603, 25505.523, 25505.523, 25505.521
604,  9309.524,  9309.524,  9309.525
605, 20348.895, 20348.895, 20348.889
606, 31964.348, 31964.348, 31964.350
607, 22353.586, 22353.586, 22353.592
608, 21782.320, 21782.320, 21782.320
609, 35061.883, 35061.883, 35061.879
610, 36656.918, 36656.918, 36656.926
611, 21199.867, 21199.867, 21199.865
612, 36551.355, 36551.355, 36551.352
613, 24853.609, 24853.609, 24853.619
614, 34507.953, 34507.953, 34507.938
615, 38643.410, 38643.410, 38643.406
616, 37465.078, 37465.078, 37465.078
617, 39432.352, 39432.352, 39432.344
618, 31536.039, 31536.039, 31536.045
619, 49390.789, 49390.789, 49390.793
620, 46837.680, 46837.680, 46837.668
621, 44881.312, 44881.312, 44881.309
622, 46470.051, 46470.051, 46470.051
623, 45358.098, 45358.098, 45358.098
624, 42648.238, 42648.238, 42648.238
625, 47890.562, 47890.562, 47890.566
626, 57832.191, 57832.191, 57832.191
627, 53916.184, 53916.184, 53916.184
628, 46617.832, 46617.832, 46617.820
629, 49860.855, 49860.855, 49860.852
630, 45819.199, 45819.199, 45819.195
631, 54592.887, 54592.887, 54592.875
632, 53251.766, 53251.766, 53251.758
633, 51658.852, 51658.852, 51658.840
634, 47169.270, 47169.270, 47169.273
635, 54070.445, 54070.445, 54070.453
636, 48138.414, 48138.414, 48138.418
637, 54897.102, 54897.102, 54897.098
638, 57979.500, 57979.500, 57979.504
639, 60115.590, 60115.590, 60115.586
640, 61786.703, 61786.703, 61786.707
641, 55908.828, 55908.828, 55908.816
642, 67187.555, 67187.555, 67187.547
643, 58973.641, 58973.641, 58973.637
644, 64767.309, 64767.309, 64767.316
645, 59371.984, 59371.984, 59371.973
646, 59019.941, 59019.941, 59019.938
647, 53343.180, 53343.180, 53343.176
648, 52060.992, 52060.992, 52061.000
649, 66781.484, 66781.484, 66781.484
650, 71339.109, 71339.109, 71339.102
651, 57732.621, 57732.621, 57732.613
652, 58941.234, 58941.234, 58941.234
653, 50362.652, 50362.652, 50362.645
654, 60505.723, 60505.723, 60505.719
655, 63438.125, 63438.125, 63438.105
656, 63410.574, 63410.574, 63410.578
657, 55345.078, 55345.078, 55345.074
658, 53361.027, 53361.027, 53361.031
659, 48984.215, 48984.215, 48984.219
660, 40357.109, 40357.109, 40357.102
661, 51916.188, 51916.188, 51916.191
662, 59766.418, 59766.418, 59766.414
663, 59285.555, 59285.555, 59285.566
664, 51021.355, 51021.355, 51021.355
665, 49501.824, 49501.824, 49501.809
666, 59742.406, 59742.406, 59742.418
667, 65644.922, 65644.922, 65644.914
668, 39486.824, 39486.824, 39486.824
669, 47702.145, 47702.145, 47702.148
670, 42687.406, 42687.406, 42687.406
671, 44661.699, 44661.699, 44661.684
672, 45955.762, 45955.762, 45955.758
673, 44657.949, 44657.949, 44657.945
674, 41356.961, 41356.961, 41356.957
675, 40164.664, 40164.664, 40164.664
676, 46898.266, 46898.266, 46898.270
677, 36002.516, 36002.516, 36002.523
678, 34226.121, 34226.121, 34226.113
679, 37435.113, 37435.113, 37435.105
680, 37248.477, 37248.477, 37248.488
681, 31770.148, 31770.148, 31770.145
682, 25034.705, 25034.705, 25034.709
683, 19278.789, 19278.789, 19278.797
684, 21607.666, 21607.666, 21607.668
685, 24189.188, 24189.188, 24189.186
686, 16366.270, 16366.270, 16366.271
687, 12740.178, 12740.178, 12740.176
688, 27159.947, 27159.947, 27159.957
689, 17518.934, 17518.934, 17518.932
690, 21163.178, 21163.178, 21163.186
691, 25445.131, 25445.131, 25445.127
692,  9966.796,  9966.796,  9966.793
693,  4502.795,  4502.795,  4502.791
